sozum,anlami,anahtar,turu2,kategori
adımlarını sıklaştırmak,"daha küçük ve çabuk adımlar atarak hızlı yürümek, ivmek, acele etmek:<i> 'İnsan böyle bir kokuya sokakta maruz kalsa adımlarını sıklaştırır, arabadaysa camları kapatır.' -</i>E. Şafak.",adım,Deyim,2
adını ağzına almamak,"dargınlık, kırgınlık, kızgınlık vb. sebeple bir kimseden söz etmemek:<i> 'Seniha'nın adını asla ağzıma almıyordum.' -</i>R. N. Güntekin.",ad(I),Deyim,8
adını bağışlamak,<i> hlk.</i> kendi adını başka bir kimseye söylemek:<i> Adınızı bağışlar mısınız?</i>,ad(I),Deyim,4
adını çıkarmak,"kişi hakkında kötü bir niyetle asılsız söylentiler yaymak:<i> 'Kadın durmadan vır vır eder, yakınır diye adımızı çıkarmışlar.' -</i>A. Erhat.",ad(I),Deyim,8
adını koymak,karşılığını veya fiyatını kararlaştırmak:<i> Bu evi alabilmemiz için adını koyalım.</i>,ad(I),Deyim,8
adını ...-ye çıkarmak,bir kişinin sahip olmadığı niteliklerle tanınmasına yol açmak:<i> Adını deliye çıkardılar.</i>,ad(I),Deyim,2
"adres bırakmak (göstermek, vermek)","arandığında bulunabileceği, oturduğu yeri bildirmek:<i> 'Kendisi, soracak olurlarsa Hayrettin Ağa'nın adresini vermesini söyledi.' -</i>M. Yesari.",adres,Deyim,8
aferin almak,değerli görülüp beğenilmek.,aferin,Deyim,7
affa uğramak,bağışlanmak.,af,Deyim,8
affetmişsin,"'hiç de öyle değil, yanılıyorsun' anlamında kullanılan bir söz:<i> 'Yakın tarihe ait tefrikaların ezelî okuyucusu Başefendi, affetmişsin sen onu, dedi.' -</i>H. Taner.",affetmek,Deyim,3
affını dilemek (istemek),bir iş veya görevi yerine getiremeyeceğini nezaketle bildirmek.,af,Deyim,4
affınıza sığınarak,'hoşgörünüze güvenerek' anlamında kullanılan bir nezaket sözü:<i> 'Affınıza sığınarak malumatınızı da madamdan aldım.' -</i>A. Ümit.,af,Deyim,3
"afi kesmek (satmak, yapmak)","birine karşı gösteriş yapmak:<i> 'Yanındaki kıza afi yapmak için onun önüne, dilenciye sadaka verir gibi bahşiş fırlatan bir züppeyi, bıraksalar öldürecekti.' -</i>H. Taner.",afi,Deyim,8
afiş yutmak,"yalana dolana kanmak:<i> Geç baba, geç, artık afiş yutmuyoruz.</i>",afiş,Deyim,8
afişte kalmak,<i> tiy.</i> oyun ilgi görerek günlerce oynanmak:<i> Oyunun afişte kalması için başarıyla oynanması gerekir.</i>,afiş,Deyim,8
afiyet (afiyet şeker) olsun,"'yarasın, ağız tadıyla yensin'' anlamında kullanılan bir iyi dilek sözü.",afiyet,Deyim,3
afiyet bulmak,"iyileşmek, sağlığını kazanmak.",afiyet,Deyim,8
afiyet üzere olmak,"sağlıklı, rahat yaşıyor olmak.",afiyet,Deyim,1
aforoz etmek,"1) kilise birliğinden çıkarmak:<i> 'Aforoz edilmiş, kiliseden kovulmuş.' -</i>N. F. Kısakürek. 2)<i> mec.</i> darılıp biriyle konuşmamak, ilgiyi kesip kendinden uzaklaştırmak, toplum dışılamak:<i> 'Siz kendi milletiniz için bunun yarısını söyleyin, milletin çoğunluğu sizi hemen aforoz eder.' -</i>H. Taner.",aforoz,Deyim,8
afura tafura gelmemek,1) çalım satmadan hoşlanmamak; 2) böyle bir davranışa karşı tepki göstermek.,afur tafur,Deyim,8
afyon çekmek,keyif için afyon yutmak.,afyon,Deyim,8
afyon yutmak,1) uyuşturucu olarak afyon kullanmak; 2)<i> mec.</i> gerçeği göremeyecek kadar kendinde olmamak.,afyon,Deyim,8
afyonu başına vurmak,"aşırı davranışlarda bulunacak kadar öfkelenmek, ne yaptığını bilememek.",afyon,Deyim,8
afyonu patlamak,"ayılmak, kendine gelmek.",afyon,Deyim,8
Agop'un kazı gibi bakmak,aptal aptal bakmak.,,Deyim,8
"ağa borç eder, uşak harç","ağa para sıkıntısı içinde olup borç etse de uşak, bunu anlamaz ve bol harcamayı sürdürür.","ağa, etmek",Atasözü,8
ağaca balta vurmuşlar 'sapı bedenimden' demiş,insana en yakını bile kötülük edebilir.,"ağaç, vurmak, demek",Atasözü,2
ağaca çıkan keçinin dala bakan oğlağı olur,çocuklar ana ve babalarından öğrendiklerini yapmaya özenirler.,"ağaç, çıkmak, bakmak, oğlak, olmak",Atasözü,8
ağaca çıksa pabucu yerde kalmaz,davranışlarına engel olacak hiçbir takıntısı yok.,"ağaç, çıkmak, pabuç, kalmak",Atasözü,8
"ağaca dayanma kurur, adama (insana) dayanma ölür","insan yapacağı işte başkalarına değil, kendine güvenmelidir.","ağaç, dayanmak, kurumak, ölmek",Atasözü,8
"ağacı kurt, insanı dert yer",kurt ağacı nasıl içten içe kemirirse dert de insanı içten içe yer bitirir.,"ağaç, yemek",Atasözü,8
ağacın kurdu içinde olur,bir topluluğu çökertecek olan şey yine kendi içinden çıkar.,"ağaç, kurt, olmak",Atasözü,4
"ağacın meyvesi olunca, başını aşağı salar","yararlı eserler veren, bilgi ve erdemle donanmış kimse alçak gönüllü olur.","ağaç, olmak, salmak",Atasözü,8
ağaç kökünden yıkılır,"bir düzen, ayrıntıların değişmesiyle değil temelin bozulmasıyla yıkılır.",yıkılmak,Atasözü,8
ağaç ne kadar uzasa göğe ermez,insan ne kadar yükselirse yükselsin bir yerde durur.,"uzamak, gök, ermek",Atasözü,8
ağaç olmak,"<i> argo</i> bir yerde ayakta durarak çokça beklemek:<i> Neredesin yahu, seni bekleye bekleye ağaç olduk.</i>",ağaç,Deyim,8
"ağaç ucuna yel değer, güzel kişiye söz değer","güzel insanlar her yerde ilgi çekerler, her zaman onların sözü kabul edilir.",değmek,Atasözü,8
ağaç yaprağıyla gürler (güzeldir),"insan önemli işleri akrabası, yakınları, yandaşlarından güç alarak daha kolay yapar.","yaprak, gürlemek",Atasözü,8
ağaç yaş (fidan) iken eğilir,insanlar küçük yaşta kolay eğitilir.,eğilmek,Atasözü,2
"ağaç yeşert meyve getirsin, oğlan büyüt ekmek getirsin","erkek evlat meyve veren ağaç gibidir, günü gelince evin geçim yükünü hafifletir.","yeşertmek, getirmek, büyütmek",Atasözü,8
"ağaçtan maşa, abdaldan paşa olmaz","yeteneksiz, beceriksiz kimse önemli işlerde kullanılamaz.",olmak,Atasözü,8
ağaçtan maşa olmaz,"yeteneksiz, beceriksiz kimse önemli işlerde kullanılamaz.",olmak,Atasözü,8
"ağalık (beylik) vermekle, yiğitlik vurmakla","sözü geçer bir adam olmak istersen herkese yardımda bulunacaksın, yiğit adam olmak için de savaşta da barışta da vurucu, kırıcı olacaksın.",,Atasözü,1
ağanın alnı terlemezse ırgadın burnu kanamaz,işveren işçisi ile birlikte çalışmazsa işçi işe var gücüyle sarılmaz.,"alın, terlemek, ırgat, burun, kanamak",Atasözü,8
ağanın eli tutulmaz,zengin olarak düşünülen kişiden anılmaya değer bir bağış beklenir.,tutulmak,Atasözü,8
ağanın gözü ata tımardır,iş sahipleri denetimlerini sürekli yaparlarsa işler yolunda gider.,,Atasözü,8
ağanın gözü öküzü (ineği) semiz eder,"ana babalar çocuklarına, mal sahipleri de mallarına iyi bakarlarsa iyi sonuçlar alınır.",etmek,Atasözü,8
"ağanın gözü, yiğidin sözü","çalışanlarını gereği gibi yöneten ve çalıştıran kişi iyi bir yöneticidir, sözünün eri olan kimse de yiğittir.",yiğit,Atasözü,8
"ağanın malı çıkar, uşağın canı","bir afeti önlemek için işveren malını, işçi de canını feda eder.","çıkmak, uşak",Atasözü,8
"ağaran baş, ağlayan göz gizlenmez",belirtileri meydanda olan yaşlılık ve izleri ortada duran üzüntü ne yapılsa gizlenemez.,"ağarmak, ağlamak, gizlenmek",Atasözü,8
ağası güçlü olanın kulu asi olur,"dişli birine dayanan, güvenen kişi herkese kafa tutar, kabadayıca davranır.",olmak,Atasözü,8
"ağası güçlü olanın, kulu suçlu olur",kuvvetli kimselerin suçları yanındakilere yüklenir.,olmak,Atasözü,8
ağası yiğit olanın etbaı sarhoş gezer,"dişli birine dayanan, güvenen kişi herkese kafa tutar, kabadayıca davranır.","olmak, gezmek",Atasözü,8
ağı gibi,"1) acı veren, çok etkileyen; 2) çok sert, keskin.",ağı,Deyim,9
ağılda oğlak doğsa ovada otu biter,Tanrı her yarattığının rızkını verir.,"doğmak, bitmek",Atasözü,8
ağına düşürmek,tuzağına düşürmek.,ağ(I),Deyim,8
"ağır ağır demeli, çabuk çabuk yemeli","yemeği çabuk yemelisin, dediğinin anlaşılabilmesi için de sözleri tane tane ve yavaş yavaş söylemelisin.","demek, yemek",Atasözü,8
ağır basar yeğni kalkar,"ağırbaşlı olan, herkesten saygı görür, ağırbaşlı olmayana ise kimse değer vermez.","basmak, kalkmak",Atasözü,8
ağır basmak,ağırlık olarak fazla gelmek.,ağır,Deyim,8
ağır çekmek,tartıda ağır gelmek.,ağır,Deyim,8
ağır durmak,"ciddi, ağırbaşlı, oturaklı, soğukkanlı hareket etmek:<i> 'Devlet adamlarının ileri gelenleri böyle sözlere karışmaz, ağır dururlar.' -</i>M. Ş. Esendal.",ağır,Deyim,6
ağır gelmek,"1) gücüne gitmek, onuruna dokunmak:<i> 'Bu vazife bana çok ağır geliyor.' -</i>N. F. Kısakürek. 2) yapılması güç gelmek.",ağır,Deyim,9
ağır git ki yol alasın,"bir işte başarılı olmak isteyen kimse, ağır ağır ama güvenilir adımlarla yürümelidir.","gitmek, almak",Atasözü,1
ağır kaçmak,"1) gücendirici olmak, uygun düşmemek:<i> Bu şaka biraz ağır kaçtı.</i> 2) beklenenden fazla olmak:<i> Hakem tarafından verilen kırmızı kart ağır kaçtı.</i>",ağır,Deyim,1
ağır kayba uğramak,maddi ve manevi büyük zarar görmek.,ağır kayıp,Deyim,8
ağır kazan geç kaynar,1) kalın kafalı insan bir konuyu zor anlar; 2) tembel olan işi geç yapar.,kaynamak,Atasözü,4
ağır ol!,"1) 'ciddi, ağırbaşlı, soğukkanlı, sabırlı ol!' anlamında kullanılan bir söz; 2) 'acele etme, yavaş ol!' anlamında kullanılan bir söz.",ağır,Deyim,3
"ağır ol, batman gel",ağırbaşlı ol ki el üstünde tutulasın.,"olmak, gelmek",Atasözü,8
ağır ol da molla desinler,ağırbaşlı davranan itibarlı olur.,"olmak, demek",Atasözü,8
"ağır otur ki bey (ağa, molla) desinler",ağırbaşlı ol ki büyüğümüz diye sana saygı göstersinler.,"oturmak, demek",Atasözü,8
ağır oturmak,ağırbaşlı olmak.,ağır,Deyim,1
ağır söylemek,"acı, dokunaklı sözler söylemek.",ağır,Deyim,8
ağır taş batman döver,"ağırbaşlı insan kimsenin oyuncağı olmaz, onu yıpratmaya kimsenin gücü yetmez.","dövmek, oynamak",Atasözü,8
ağır taş yerinden oynamaz,"ağırbaşlı insan kimsenin oyuncağı olmaz, onu yıpratmaya kimsenin gücü yetmez.",oynamak,Atasözü,8
ağır yara almak,1) kavgada veya savaşta önemli ölçüde zarar görmek; 2) bir olayda beklenmeyen sıkıntılı ve olumsuz bir duruma düşmek.,ağır yara,Deyim,7
ağır yongayı yel kaldırmaz,"ağırbaşlı kimseye ufak tefek olaylar etki edemez, zarar veremez.",kaldırmak,Atasözü,8
ağırdan almak,"1) bir işi gereken süre içinde bitirmemek, geciktirmek:<i> 'Görüyorsunuz ki bu soyadı konusunda benim ağırdan alışım, bir tembellik değil.' -</i>M. Ş. Esendal. 2) bir işi gönülsüz, isteksiz yapmak:<i> 'Ama üstüme düşüldü mü bende bir gönül tokluğu, bir nazlanma, bir ağırdan alış.' -</i>H. Taner.",ağır,Deyim,4
ağırına gitmek,"onuruna dokunmak veya gücüne gitmek:<i> 'Kimse, dört çocuklu bir aileye ev vermek istememiş. Bu, büsbütün ağırına gitmiş.' -</i>A. Ağaoğlu.",ağır,Deyim,8
ağırlığı olmak,etkisi büyük olmak:<i> 'Başsavcının yargıçlar arasında belli bir ağırlığı var kuşkusuz.' -</i>A. Kulin.,ağırlık,Deyim,1
ağırlığınca altın etmek (değmek),çok değerli olmak.,ağırlık,Deyim,9
ağırlığını (ortaya) koymak,kimliğini ve kişiliğini kabul ettirmek.,ağırlık,Deyim,8
ağırlık basmak (çökmek),1) gevşeklik ve uyku gelmek; 2) ağır bir hava kaplamak; 3) sessizlik oluşmak:<i> 'Yavaş yavaş bir ağırlık çöktü. Bir sakinlik herkesi kapladı.' -</i>M. Ş. Esendal.,ağırlık,Deyim,4
ağırlık olmak,"1) sıkıntı vermek:<i> 'Kimseye ağırlık olmaz, kimseyi sıkıştırmaz, iyilikten başka bir şey yapmaz.' -</i>Ö. Seyfettin. 2) birine yük olmak, kendi masrafını başkasına çektirmek.",ağırlık,Deyim,1
ağız açtırmamak,"çok konuşarak başkalarının söz söylemesine, konuşmasına engel olmak:<i> Yusuf Efendi biçareye ağız açtırmıyordu.</i>",ağız(I),Deyim,9
ağız ağıza vermek (konuşmak),iki kişi birbirine pek yakın durarak başkaları işitmeyecek bir biçimde konuşmak:<i> 'Tenha köşelerde ağız ağıza konuşurken yanlarına biri gelecek olursa hemen susuyorlardı.' -</i>R. N. Güntekin.,ağız ağıza,Deyim,8
ağız (ağzını) açmak,"1) konuşmaya başlamak; 2) kesici aletleri keskin duruma getirmek; 3) ağır sözler söylemeye başlamak; 4) azarlamak, paylamak:<i> 'Aman efendim, bendenize bir ağız açtılar, donakalmışım.' -</i>M. Ş. Esendal. 5) alık alık bakmak.",ağız(I),Deyim,8
ağız aramak (yoklamak),öğrenmek istenilen şeyi söyletecek yolda dil kullanmak.,ağız(I),Deyim,8
ağız birliği etmek,"bir konuda anlaşarak aynı biçimde konuşmak, söz birliği etmek.",ağız birliği,Deyim,6
ağız burun birbirine karışmak,"1) dayak sonucunda yüz yara bere içinde kalmak; 2) yüzde aşırı öfke, üzüntü, yorgunluk vb. durumların izleri görünmek.",ağız(I),Deyim,8
ağız değiştirmek,"önce söylediğini başka türlü anlatmak:<i> 'Gelgelelim Akif, Berlin'e gidip de oradaki kahveleri gördüğü vakit ağız değiştirmek zorunda kalır.' -</i>S. Birsel.",ağız(I),Deyim,8
ağız dil vermemek,"konuşmamak, susmak.",ağız(I),Deyim,8
ağız etmek,"yaranmak için kibar konuşmaya çalışmak:<i> 'Kolonya dökmekten, şeker tutmaktan iyi gözükeceğim diye ağız etmekten yoruldu.' -</i>L. Tekin.",ağız(I),Deyim,6
ağız kalabalığına getirmek,1) birini gereksiz sözlerle şaşırtmak; 2) ilgisiz sözler söyleyerek asıl konudan uzaklaştırmak.,ağız kalabalığı,Deyim,8
ağız kullanmak,"duruma, ortama göre söz söylemek:<i> Ben nasıl ağız kullanıyorsam sen de o yolda konuş.</i>",ağız(I),Deyim,8
ağız satmak,yüksekten atarak kendini övmek.,ağız(I),Deyim,8
ağız tamburası çalmak,"1) sözle avutmaya, oyalamaya çalışmak; 2) soğuktan dişleri birbirine çarpmak, çenesi titremek.",ağız(I),Deyim,8
ağız yapmak,"birini kandırmak, yanıltmak amacıyla duygularını, düşüncelerini olduğundan başka türlü gösterecek biçimde konuşmak:<i> 'Kaçacağım, tövbeler olsun, bir fırsatını bulayım diye ağız yaptı.' -</i>M. Ş. Esendal.",ağız(I),Deyim,8
ağız yaymak,açık ve dürüst konuşmaktan kaçınmak.,ağız(I),Deyim,8
"ağız yemese, yüz utanmaz","armağan alan, armağanı verenin isteğini yerine getirmemeye çekinir ve mutlaka yapmaya çalışır.","yemek, utanmak",Atasözü,8
"ağız yer, yüz utanır","armağan alan, armağanı verenin isteğini yerine getirmemeye çekinir ve mutlaka yapmaya çalışır.","yemek, utanmak",Atasözü,8
ağızda dağılmak,"genellikle hamur işi, iyi pişmiş ve lezzetli olmak.",ağız(I),Deyim,1
ağızda sakız gibi çiğnemek,bir söz veya düşünceyi sık sık tekrarlayıp durmak.,ağız(I),Deyim,4
ağızdan ağıza dolaşmak (geçmek),bir söz herkes arasında söylenilmek:<i> 'Gazeteye yansıyan haber ağızdan ağıza geçerken açıklığını hemen hemen tamamen kaybetmiştir.' -</i>Halikarnas Balıkçısı.,ağızdan ağıza,Deyim,8
"ağızdan burun yakın, kardeşten karın yakın",insanın kendi yararı her şeyden önemlidir.,,Atasözü,8
ağlama duvarına dönmek,"herkesin şikâyetini, derdini dinler duruma gelmek.",ağlama duvarı,Deyim,8
"ağlama ölü için, ağla deli için",yakınlarından biri ölenin acısı zamanla küllenir ancak bir yakını deli olanın acısı hiçbir zaman dinmez.,ağlamak,Atasözü,8
ağlama ölü için ağla diri için,"ölüp giden aslında dünyanın bütün dert ve sıkıntılarından kurtulmuştur onun adına üzülmek yersizdir, esas dünyada kalan ve onun sıkıntısını çekenler için üzülmek gerekir.",ağlamak,Atasözü,8
ağlamak para etmez,üzülmenin yararı olmaz.,etmek,Atasözü,8
ağlamakla yâr ele girmez,"kişi çok sevdiği şeye yalnızca özlemini çekmekle kavuşamaz, onu elde etmenin yollarını bulmalıdır.",girmek,Atasözü,9
ağlamayan çocuğa meme vermezler,hakkını aramasını bilmeyen kimsenin işi görülmez.,"ağlamak, çocuk, vermek",Atasözü,8
"ağlar gözden, sahte sözden kendini sakın",kendini acındıranlardan kork.,ağlamak,Atasözü,8
"ağlarsa anam ağlar, başkası (kalanı) yalan ağlar","insanın sıkıntısını yürekten paylaşan yalnızca annesidir, diğerlerinin üzülmesi yüzeyseldir.",ağlamak,Atasözü,8
ağlatan gülmez,"başkalarına zulmeden kimsenin kötülüğü yerde kalmaz, kendisine döner, o da ağlar.","ağlamak, gülmek",Atasözü,8
ağlayanın malı gülene hayretmez,"birinden haksız olarak alınan mal, alana yarar sağlamaz.","ağlamak, hayretmek",Atasözü,8
ağlayıp da gözden mi olayım?,meseleyi büyütüp sıkıntıya girmek gereksiz.,"ağlamak, olmak",Atasözü,8
"ağrılardan göz ağrısı, her kişinin öz ağrısı",herkesi en çok ilgilendiren kendi derdidir.,,Atasözü,9
ağrısız baş mezarda gerek,"herkesin bir sıkıntısı vardır, bu sıkıntılar ancak ölümle biter.",,Atasözü,4
ağrısız başına kaşbastı bağlamak,'kendine gereksiz yere iş çıkarmak' anlamında kullanılan bir söz.,ağrısız,Deyim,3
ağustosta beyni kaynayanın zemheride kazanı kaynar,yazın çalışan kışın rahat eder.,"beyin, kaynamak",Atasözü,8
ağustosta gölge kovan zemheride karnın ovar,"elinde fırsat varken geleceğini sağlamaya gayret göstermeyip eğlenceye, keyfe dalan kimse sonunda aç kalır ve perişan olur.","kovmak, karın, ovmak",Atasözü,8
"ağustosta yatanı, zemheride büvelek tutar","elinde fırsat varken geleceğini sağlamaya gayret göstermeyip eğlenceye, keyfe dalan kimse sonunda aç kalır ve perişan olur.","yatmak, tutmak",Atasözü,8
ağustosun yarısı yaz yarısı kıştır,"ağustos ayının ortalarında yaz sıcakları azalır, serinlik başlar.",,Atasözü,8
ağza (ağızlara) düşmek,dedikodu konusu olmak.,ağız(I),Deyim,1
ağza alınmaz (alınmayacak),"söylenmesi ayıp, çirkin (söz, küfür):<i> 'Bu ağza alınmaz söz üzerine karşıdakiler birden alevlendiler.' -</i>O. C. Kaygılı.",ağız(I),Deyim,8
ağza almamak,"anmamak, sözünü etmemek:<i> 'Tövbekâr olduktan sonra eskiden işlediğimiz günahlar ağza alınmaz.' -</i>H. E. Adıvar.",ağız(I),Deyim,8
"ağza tat, boğaza feryat",'miktarı çok az olan yiyecek' anlamında kullanılan bir söz.,ağız(I),Deyim,3
